Image,YOLO_iou_value,YOLO_diceCoef,YOLO_predIOU,Detectron_iou_value,Detectron_diceCoef,Detectron_predIOU,SAM_iou_value,SAM_diceCoef,SAM_predIOU,SAMlang_iou_value,SAMlang_diceCoef,SAM Lang_predIOU,SAM Area,SAM Count,SAM Lang Area,SAM Lang Count,Ground Truth Area,Ground Truth Count,YOLO Area,YOLO Count,Detectron Area,Detectron Count
image_2023-07-24_19-40-24-305327_1.png,0.47739463601532567,0.030712180800368086,0.5530131176644639,0.4661393015628015,0.026624203119748304,0.6051346274264245,0.10932916096225308,0.014861487743925135,0.1321700477609117,0.15528389024721542,0.015488709987725007,0.20341637010676156,33285,15,13512.5,10,6127.0,9,10051.5,8,12688.0,22
image_2023-07-24_19-39-58-393753_1.png,0.20698254364089774,0.029687919163015292,0.2455621301775148,0.18732193732193733,0.04426864164282107,0.19127272727272726,0.006208085840199272,0.008883527089273964,0.006239168110918544,0.0008633102033213791,0.001674599988530137,0.0008633102033213791,30966,10,408065.0,7,224.0,2,609.5,2,1631.5,7
image_2023-07-24_19-39-09-446728_2.png,0.5992141453831041,0.04099737885610592,0.8640226628895185,0.22559293987865417,0.050224105114508505,0.23225440090857466,0.0,0.0,0.0,0.0,0.0,0.0,23539,12,23960.5,4,403.0,1,486.5,2,1754.5,8
image_2023-07-24_19-41-08-010404_2.png,0.5307663964627856,0.02995736716231673,0.8092696629213483,0.5551540509699505,0.030373345542329143,0.8515169194865811,0.0657211272794253,0.016754320060105184,0.07377998345740282,0.11807308970099668,0.017694092343844905,0.14712700778274548,27565,19,12315.5,6,4286.0,7,3204.5,6,3957.0,8
image_2023-07-24_19-39-42-260682_1.png,0.1885875529079793,0.019016981706232686,0.2798650692101896,0.5992857142857143,0.04006255297305686,0.7330712101354303,0.23726937269372694,0.02990802004721095,0.28470223599734334,0.3971265012908295,0.02826781719399169,0.6017006802721089,13551,12,5001.0,6,5472.5,8,7425.5,9,7044.5,11
image_2023-07-24_19-39-42-102962_1.png,0.32732464751026236,0.019081904444814383,0.3846476510067114,0.5388086642599278,0.024926020448104713,0.5752830643218502,0.1692192753081808,0.01836731590871079,0.1839407166785098,0.6480324797001874,0.021834750399865308,0.7956288343558282,9852,7,4346.5,3,2289.5,1,4351.0,1,5873.0,3
image_2023-07-24_19-38-58-726948_2.png,0.6318840579710145,0.04014622063847224,0.7299514481834923,0.557229360508049,0.03485611344634856,0.7177097203728362,0.04855374039795433,0.01827832946201693,0.05170323007386176,0.2055284876205628,0.01895721557298115,0.3023255813953488,48713,17,6219.5,4,4882.0,5,5505.0,4,6731.0,9
image_2023-07-24_19-41-12-674257_1.png,0.09771986970684039,0.008743249027768922,0.16597510373443983,0.5421795256679676,0.032973051924340906,0.6848691695108078,0.01434983954178007,0.013833411654135338,0.01451001735451474,0.44587227414330216,0.02118017018128006,0.9439406430338005,101396,8,992.5,2,2057.0,5,2449.5,5,2781.5,9
image_2023-07-24_19-41-39-391320_1.png,0.6346381969157769,0.06363366042224204,0.6969170646982197,0.5414059624585941,0.05825857937780946,0.6240984302078914,0.032123845071284345,0.026234587180031733,0.032910202162670425,0.12438291478858124,0.0408184827780517,0.1340504279435577,58672,11,8067.5,5,1611.5,2,2071.5,2,2113.0,7
image_2023-07-24_19-38-37-276992_2.png,0.39226519337016574,0.029009193054136875,0.4423676012461059,0.24258760107816713,0.03526645768025078,0.2435723951285521,0.0,0.0,0.0,0.0004733567757641331,0.0009188045540203949,0.0004734116555881898,16996,9,338881.5,6,135.5,1,278.0,1,930.0,7
image_2023-07-24_19-39-41-749965_1.png,0.5749385749385749,0.03402924842987375,0.9039111540318686,0.5258143822987092,0.03114873475332241,0.8967505241090147,0.08990536277602523,0.016614941444762606,0.11150747986191024,0.11016316519142583,0.017917696543948657,0.14048687610499117,8690,6,6928.5,4,2883.5,1,1883.0,1,1714.0,2
image_2023-07-24_19-41-12-836668_1.png,0.5189758253184299,0.03208272570595254,0.6682845188284519,0.5234561357010337,0.031761603036248434,0.6829183955739973,0.09623532260016947,0.012453787831317752,0.1282258064516129,0.11219853198182454,0.010273643783005281,0.1830102622576967,12400,10,7063.5,7,4964.5,7,5284.0,8,6964.5,11
image_2023-07-24_19-39-47-129492_2.png,0.47620313746344056,0.02053122098288492,0.6899075500770416,0.5086227835802769,0.023914346895074948,0.6433179723502304,0.113163646619192,0.017379346190079154,0.1250779301745636,0.007298524369980199,0.009636021025488446,0.0073100999157337185,15758,15,340485.0,6,2595.0,4,2254.5,4,3565.0,9
image_2023-07-24_19-40-19-460531_1.png,0.5615272645840331,0.04114669226540642,0.7288184856852201,0.4811601093545703,0.0334162962229184,0.7501853224610823,0.3592039800995025,0.026839040105737063,0.621342512908778,0.30853530031612225,0.02417497130873453,0.5469830001868111,6972,13,4412.5,7,6045.0,14,6094.5,14,5564.5,16
image_2023-07-24_19-40-30-155102_1.png,0.20336112558624284,0.021433916667238786,0.47927540681608843,0.47788335517693314,0.04011248547520988,0.9592239394935876,0.01804896878791221,0.020390427152348824,0.0183224824080657,0.45104253544620515,0.03726596792976798,0.9944832659065833,178655,9,2289.5,3,5507.5,6,2805.5,5,3738.5,11
image_2023-07-24_19-39-26-397195_1.png,0.17345764272559852,0.01388006226225673,0.25542372881355935,0.5831159150204994,0.02904672168431997,0.745,0.17823012974904826,0.0206558735075366,0.21103955841766328,0.001367939418789029,0.0015613190454004246,0.0013876670629676935,10870,10,275831.0,2,3354.0,9,4984.5,9,3595.5,14
image_2023-07-24_19-39-41-911129_1.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30806,8,355243.5,6,0.0,0,41.5,1,86.0,1
image_2023-07-24_19-41-07-439885_1.png,0.38142995794241347,0.03688601522577954,0.5800262381108561,0.6109708193041526,0.04573306800102912,0.9128065395095368,0.02657869231342727,0.022515907978463045,0.02721727247047327,0.5656622284512964,0.04245270614964684,0.9051356806458847,130983,8,3795.5,6,6043.5,7,5396.5,6,4130.5,6
image_2023-07-24_19-38-37-087957_1.png,0.5112359550561798,0.05089078852760246,0.7693236714975845,0.41964285714285715,0.03799361383937593,0.8785046728971962,0.0023191118737487977,0.004131312757049168,0.002326479087769814,0.01063761062899718,0.014097368871639747,0.010767688216574393,381296,4,44761.0,2,964.5,1,690.5,3,436.5,2
image_2023-07-24_19-38-42-984229_1.png,0.0934701188731477,0.008709572183993505,0.23286004056795132,0.4485981308411215,0.0313299281263519,0.8546583850931677,0.06632281553398059,0.015322394106555826,0.08203857989942205,0.2953695042095416,0.019336614791055858,0.9798293250581847,13323,9,1280.5,3,3632.5,5,2155.0,5,2936.5,9
